container,operation,size,run,time_us
std::vector,push_back,10000,1,92
MyVector,push_back,10000,1,47
std::vector,operator[],10000,1,24
MyVector,operator[],10000,1,28
std::vector,at,10000,1,65
MyVector,at,10000,1,27
std::vector,iterate,10000,1,85
MyVector,iterate,10000,1,23
std::vector,copy_ctor,10000,1,17
MyVector,copy_ctor,10000,1,40
std::vector,move_ctor,10000,1,0
MyVector,move_ctor,10000,1,18
std::vector,front_back,10000,1,0
MyVector,front_back,10000,1,0
std::vector,resize,10000,1,10
MyVector,resize,10000,1,54
std::vector,clear,10000,1,1
MyVector,clear,10000,1,43
std::vector,insert_one,10000,1,5
MyVector,insert_one,10000,1,131
std::vector,erase_one,10000,1,2
MyVector,erase_one,10000,1,72
std::vector,compare_eq,10000,1,0
MyVector,compare_eq,10000,1,18
std::vector,swap,10000,1,0
MyVector,swap,10000,1,48
std::vector,push_back,10000,2,67
MyVector,push_back,10000,2,52
std::vector,operator[],10000,2,19
MyVector,operator[],10000,2,19
std::vector,at,10000,2,41
MyVector,at,10000,2,25
std::vector,iterate,10000,2,50
MyVector,iterate,10000,2,17
std::vector,copy_ctor,10000,2,0
MyVector,copy_ctor,10000,2,34
std::vector,move_ctor,10000,2,0
MyVector,move_ctor,10000,2,19
std::vector,front_back,10000,2,0
MyVector,front_back,10000,2,0
std::vector,resize,10000,2,10
MyVector,resize,10000,2,46
std::vector,clear,10000,2,0
MyVector,clear,10000,2,35
std::vector,insert_one,10000,2,2
MyVector,insert_one,10000,2,88
std::vector,erase_one,10000,2,1
MyVector,erase_one,10000,2,58
std::vector,compare_eq,10000,2,0
MyVector,compare_eq,10000,2,16
std::vector,swap,10000,2,0
MyVector,swap,10000,2,42
std::vector,push_back,10000,3,69
MyVector,push_back,10000,3,47
std::vector,operator[],10000,3,23
MyVector,operator[],10000,3,18
std::vector,at,10000,3,41
MyVector,at,10000,3,24
std::vector,iterate,10000,3,49
MyVector,iterate,10000,3,17
std::vector,copy_ctor,10000,3,0
MyVector,copy_ctor,10000,3,33
std::vector,move_ctor,10000,3,0
MyVector,move_ctor,10000,3,19
std::vector,front_back,10000,3,0
MyVector,front_back,10000,3,0
std::vector,resize,10000,3,9
MyVector,resize,10000,3,49
std::vector,clear,10000,3,0
MyVector,clear,10000,3,34
std::vector,insert_one,10000,3,2
MyVector,insert_one,10000,3,85
std::vector,erase_one,10000,3,1
MyVector,erase_one,10000,3,61
std::vector,compare_eq,10000,3,0
MyVector,compare_eq,10000,3,16
std::vector,swap,10000,3,0
MyVector,swap,10000,3,40
std::vector,push_back,10000,4,59
MyVector,push_back,10000,4,48
std::vector,operator[],10000,4,18
MyVector,operator[],10000,4,18
std::vector,at,10000,4,41
MyVector,at,10000,4,24
std::vector,iterate,10000,4,53
MyVector,iterate,10000,4,17
std::vector,copy_ctor,10000,4,0
MyVector,copy_ctor,10000,4,33
std::vector,move_ctor,10000,4,0
MyVector,move_ctor,10000,4,18
std::vector,front_back,10000,4,0
MyVector,front_back,10000,4,0
std::vector,resize,10000,4,9
MyVector,resize,10000,4,51
std::vector,clear,10000,4,0
MyVector,clear,10000,4,29
std::vector,insert_one,10000,4,2
MyVector,insert_one,10000,4,86
std::vector,erase_one,10000,4,1
MyVector,erase_one,10000,4,57
std::vector,compare_eq,10000,4,0
MyVector,compare_eq,10000,4,15
std::vector,swap,10000,4,0
MyVector,swap,10000,4,40
std::vector,push_back,10000,5,57
MyVector,push_back,10000,5,47
std::vector,operator[],10000,5,18
MyVector,operator[],10000,5,18
std::vector,at,10000,5,47
MyVector,at,10000,5,24
std::vector,iterate,10000,5,53
MyVector,iterate,10000,5,17
std::vector,copy_ctor,10000,5,0
MyVector,copy_ctor,10000,5,33
std::vector,move_ctor,10000,5,0
MyVector,move_ctor,10000,5,15
std::vector,front_back,10000,5,0
MyVector,front_back,10000,5,0
std::vector,resize,10000,5,9
MyVector,resize,10000,5,52
std::vector,clear,10000,5,0
MyVector,clear,10000,5,39
std::vector,insert_one,10000,5,2
MyVector,insert_one,10000,5,86
std::vector,erase_one,10000,5,1
MyVector,erase_one,10000,5,61
std::vector,compare_eq,10000,5,0
MyVector,compare_eq,10000,5,16
std::vector,swap,10000,5,0
MyVector,swap,10000,5,36
std::vector,push_back,100000,1,717
MyVector,push_back,100000,1,512
std::vector,operator[],100000,1,234
MyVector,operator[],100000,1,188
std::vector,at,100000,1,406
MyVector,at,100000,1,246
std::vector,iterate,100000,1,475
MyVector,iterate,100000,1,173
std::vector,copy_ctor,100000,1,111
MyVector,copy_ctor,100000,1,319
std::vector,move_ctor,100000,1,0
MyVector,move_ctor,100000,1,201
std::vector,front_back,100000,1,0
MyVector,front_back,100000,1,0
std::vector,resize,100000,1,205
MyVector,resize,100000,1,499
std::vector,clear,100000,1,16
